unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1660021200,2022/8/9 5:00,BTC/USDT,23862.09,23862.09,23862.09,23862.09,0,0
1660017600,2022/8/9 4:00,BTC/USDT,23812.55,23862.09,23812.55,23862.09,0.00201485,48.07853204
1660014000,2022/8/9 3:00,BTC/USDT,23778.32,23778.32,23778.32,23778.32,0,0
1660010400,2022/8/9 2:00,BTC/USDT,23778.32,23778.32,23778.32,23778.32,0,0
1660006800,2022/8/9 1:00,BTC/USDT,23778.32,23778.32,23778.32,23778.32,0.03,713.3496
1660003200,2022/8/9 0:00,BTC/USDT,23808.4,23855.24,23808.4,23832.13,0.81497591,19422.61183
1659999600,2022/8/8 23:00,BTC/USDT,23760,23760,23760,23760,0,0
1659996000,2022/8/8 22:00,BTC/USDT,23823.66,23847.16,23760,23760,1.28942934,30636.84112
1659992400,2022/8/8 21:00,BTC/USDT,23860.2,23860.2,23825.35,23856.72,0.29877664,7127.830643
1659988800,2022/8/8 20:00,BTC/USDT,23923.11,24073.99,23923.11,24073.99,0.57166773,13762.32322
1659985200,2022/8/8 19:00,BTC/USDT,23940,23940,23940,23940,0.05,1197
1659981600,2022/8/8 18:00,BTC/USDT,23893.7,23893.7,23884.08,23884.08,0.59224782,14145.29431
1659978000,2022/8/8 17:00,BTC/USDT,23986.69,23986.69,23986.69,23986.69,0.012025,288.4399473
1659974400,2022/8/8 16:00,BTC/USDT,24053.39,24053.39,24053.39,24053.39,0,0
1659970800,2022/8/8 15:00,BTC/USDT,24053.39,24053.39,24053.39,24053.39,0.03261627,784.5318627
1659967200,2022/8/8 14:00,BTC/USDT,24154.18,24170,24154.18,24160.73,0.084648,2045.157473
1659963600,2022/8/8 13:00,BTC/USDT,24060.59,24153.45,24010.5,24153.45,0.37944625,9164.936027
1659960000,2022/8/8 12:00,BTC/USDT,24240.28,24240.28,24092.42,24092.42,0.70479251,16980.15716
1659956400,2022/8/8 11:00,BTC/USDT,24011.85,24077.41,24011.85,24077.41,0.47309972,11391.01593
1659952800,2022/8/8 10:00,BTC/USDT,24116.86,24137.8,24092.01,24092.01,0.20882792,5031.084337
1659949200,2022/8/8 9:00,BTC/USDT,24170.29,24170.29,24127.63,24127.63,0.00757013,182.6492957
1659945600,2022/8/8 8:00,BTC/USDT,23950,24162.39,23950,24120,0.33468498,8072.601718
1659942000,2022/8/8 7:00,BTC/USDT,23752.68,23752.68,23752.68,23752.68,0.03807321,904.3407737
1659938400,2022/8/8 6:00,BTC/USDT,23593.72,23665.07,23593.72,23665.07,0.66539867,15746.7061
1659934800,2022/8/8 5:00,BTC/USDT,23423.41,23423.41,23423.41,23423.41,0.00142618,33.40599887
1659931200,2022/8/8 4:00,BTC/USDT,23331.63,23338.62,23330.11,23338.62,0.57202425,13350.2566
1659927600,2022/8/8 3:00,BTC/USDT,23274.56,23309.6,23271.4,23309.6,0.00778945,181.5689637
1659924000,2022/8/8 2:00,BTC/USDT,23206.38,23206.38,23206.38,23206.38,0,0
1659920400,2022/8/8 1:00,BTC/USDT,23211.8,23211.8,23200.16,23206.38,0.00286028,66.37674459
1659916800,2022/8/8 0:00,BTC/USDT,23218.99,23218.99,23218.99,23218.99,0.00139299,32.34382088
1659913200,2022/8/7 23:00,BTC/USDT,23101.34,23122.19,23101.34,23122.19,0.02188524,506.0346775
1659909600,2022/8/7 22:00,BTC/USDT,23247.71,23247.71,23238.73,23246.9,0.60747465,14121.90244
1659906000,2022/8/7 21:00,BTC/USDT,23308.68,23310.03,23295,23310.03,0.63568234,14817.77442
1659902400,2022/8/7 20:00,BTC/USDT,23165.32,23165.32,23165.32,23165.32,0,0
1659898800,2022/8/7 19:00,BTC/USDT,23178.31,23199.01,23165.32,23165.32,0.037835,876.4598822
1659895200,2022/8/7 18:00,BTC/USDT,23222.49,23222.49,23222.49,23222.49,0,0
1659891600,2022/8/7 17:00,BTC/USDT,23197.85,23222.49,23182.01,23222.49,0.12315569,2859.981779
1659888000,2022/8/7 16:00,BTC/USDT,23070.46,23070.46,23070.46,23070.46,0,0
1659884400,2022/8/7 15:00,BTC/USDT,23030.44,23070.46,23030.44,23070.46,0.00419177,96.70606211
1659880800,2022/8/7 14:00,BTC/USDT,22939.76,22939.76,22939.76,22939.76,0,0
1659877200,2022/8/7 13:00,BTC/USDT,22939.76,22939.76,22939.76,22939.76,0,0
1659873600,2022/8/7 12:00,BTC/USDT,22939.76,22939.76,22939.76,22939.76,0,0
1659870000,2022/8/7 11:00,BTC/USDT,22939.76,22939.76,22939.76,22939.76,0,0
